Engelse naam;;Soort (NL);Latijnse naam;Nederlandse naam;Soss.;Swak.;Etosh;Caprivi;Chobe;Bijz.
White-rumped Sandpiper;Sandpiper/Snipe;Steltlopers;Calidris fuscicollis;Bonapartes Strandloper;;;;;;Zeldzaam/Dwaalgast 
Buff-breasted Sandpiper;Sandpiper/Snipe;Steltlopers;Calidris subruficollis;Blonde Ruiter;;;;;;Bijna uitgestorven
Pectoral Sandpiper;Sandpiper/Snipe;Steltlopers;Calidris melanotos;Gestreepte Strandloper;;;;;;Zeldzaam/Dwaalgast 
African Snipe;Sandpiper/Snipe;Steltlopers;Gallinago nigripennis;Afrikaanse Snip;;;Vaak;Vaak;Vaak;
Great Snipe;Sandpiper/Snipe;Steltlopers;Gallinago media;Poelsnip;;;;Zelden;Zelden;Bijna uitgestorven
Terek Sandpiper;Sandpiper/Snipe;Steltlopers;Xenus cinereus;Terekruiter;Soms;Soms;;;;
Common Sandpiper;Sandpiper/Snipe;Steltlopers;Actitis hypoleucos;Oeverloper;Vaak;Vaak;Vaak;Vaak;Vaak;
Green Sandpiper;Sandpiper/Snipe;Steltlopers;Tringa ochropus;Witgat;;;;Zelden;Zelden;
Lesser Yellowlegs;Sandpiper/Snipe;Steltlopers;Tringa flavipes;Kleine Geelpootruiter;;;;;;Zeldzaam/Dwaalgast 
Common Greenshank;Sandpiper/Snipe;Steltlopers;Tringa nebularia;Groenpootruiter;Vaak;Vaak;Vaak;Vaak;Vaak;
Common Redshank;Sandpiper/Snipe;Steltlopers;Tringa totanus;Tureluur;;Zelden;Zelden;Zelden;Zelden;
Wood Sandpiper;Sandpiper/Snipe;Steltlopers;Tringa glareola;Bosruiter;Vaak;Vaak;Vaak;Vaak;Vaak;
Marsh Sandpiper;Sandpiper/Snipe;Steltlopers;Tringa stagnatilis;Poelruiter;Vaak;Vaak;Vaak;Vaak;Vaak;
Wilson's Phalarope;Sandpiper/Snipe;Steltlopers;Steganopus tricolor;Grote Franjepoot;;;;;;Zeldzaam/Dwaalgast 
Red-necked Phalarope;Sandpiper/Snipe;Steltlopers;Phalaropus lobatus;Grauwe Franjepoot;;;;;;
Grey Phalarope;Sandpiper/Snipe;Steltlopers;Phalaropus fulicarius;Rosse Franjepoot;;;;;;
Common Buttonquail;Buttonquail;Kwartels;Turnix sylvaticus;Gestreepte Vechtkwartel;;Soms;Soms;Soms;Soms;
Double-banded Courser;Courser/Pratincole;Renvogels;Rhinoptilus africanus;Dubbelbandrenvogel;Vaak;Vaak;Vaak;;;
Heuglin's Courser;Courser/Pratincole;Renvogels;Rhinoptilus cinctus;Driebandrenvogel;;;;Soms;Soms;
Bronze-winged Courser;Courser/Pratincole;Renvogels;Rhinoptilus chalcopterus;Bronsvleugelrenvogel;;;Soms;Soms;Soms;
Burchell's Courser;Courser/Pratincole;Renvogels;Cursorius rufus;Rosse Renvogel;Zelden;Zelden;Zelden;;;
Temminck's Courser;Courser/Pratincole;Renvogels;Cursorius temminckii;Temmincks Renvogel;;;Soms;Soms;Soms;
Collared Pratincole;Courser/Pratincole;Renvogels;Glareola pratincola;Vorkstaartplevier;;;;Soms;Soms;
Black-winged Pratincole;Courser/Pratincole;Renvogels;Glareola nordmanni;Steppevorkstaartplevier;;;;Zelden;Zelden;Bijna uitgestorven
Rock Pratincole;Courser/Pratincole;Renvogels;Glareola nuchalis;Rotsvorkstaartplevier;;;;Soms;;
Long-tailed Skua;Skua;Jagers;Stercorarius longicaudus;Kleinste Jager;Zelden;Zelden;;;;
Arctic Skua;Skua;Jagers;Stercorarius parasiticus;Kleine Jager;Vaak;Vaak;;;;
Pomarine Skua;Skua;Jagers;Stercorarius pomarinus;Middelste Jager;Soms;Soms;;;;
Brown Skua;Skua;Jagers;Stercorarius antarcticus;Subantarctische Grote Jager;Vaak;Vaak;;;;
Black Skimmer;Gull/Tern;Sternen/Meeuwen;Rynchops niger;Amerikaanse Schaarbek;;;;;;Zeldzaam/Dwaalgast 
African Skimmer;Gull/Tern;Sternen/Meeuwen;Rynchops flavirostris;Afrikaanse Schaarbek;;;;Soms;Soms;Bijna uitgestorven
Sabine's Gull;Gull/Tern;Sternen/Meeuwen;Xema sabini;Vorkstaartmeeuw;Vaak;Vaak;;;;
Black-headed Gull;Gull/Tern;Sternen/Meeuwen;Chroicocephalus ridibundus;Kokmeeuw;Vaak;Vaak;;;;Zeldzaam/Dwaalgast 
Gray-hooded Gull;Gull/Tern;Sternen/Meeuwen;Chroicocephalus cirrocephalus;Grijskopmeeuw;Soms;Soms;Soms;Soms;Soms;
Hartlaub's Gull;Gull/Tern;Sternen/Meeuwen;Chroicocephalus hartlaubii;Hartlaubs Meeuw;Vaak;Vaak;;;;
Franklin's Gull;Gull/Tern;Sternen/Meeuwen;Leucophaeus pipixcan;Franklins Meeuw;;;;;;Zeldzaam/Dwaalgast 
Kelp Gull;Gull/Tern;Sternen/Meeuwen;Larus dominicanus;Kelpmeeuw;Vaak;Vaak;;;;
Lesser Black-backed Gull;Gull/Tern;Sternen/Meeuwen;Larus fuscus;Kleine Mantelmeeuw;;;;Zelden;Zelden;Zeldzaam/Dwaalgast 
Yellow-legged Gull;Gull/Tern;Sternen/Meeuwen;Larus michahellis;Geelpootmeeuw;;;;;;Zeldzaam/Dwaalgast 
Sooty Tern;Gull/Tern;Sternen/Meeuwen;Onychoprion fuscatus;Bonte Stern;;;;;;Zeldzaam/Dwaalgast 
Little Tern;Gull/Tern;Sternen/Meeuwen;Sternula albifrons;Dwergstern;Soms;Soms;;;;Zeldzaam/Dwaalgast 
Damara Tern;Gull/Tern;Sternen/Meeuwen;Sternula balaenarum;Damarastern;Zelden;Zelden;;;;Kwetsbaar
Gull-billed Tern;Gull/Tern;Sternen/Meeuwen;Gelochelidon nilotica;Lachstern;;;;;;Zeldzaam/Dwaalgast 
Caspian Tern;Gull/Tern;Sternen/Meeuwen;Hydroprogne caspia;Reuzenstern;Soms;Soms;;;;
Whiskered Tern;Gull/Tern;Sternen/Meeuwen;Chlidonias hybrida;Witwangstern;;Soms;Soms;Soms;Soms;
White-winged Tern;Gull/Tern;Sternen/Meeuwen;Chlidonias leucopterus;Witvleugelstern;Vaak;Vaak;Vaak;Vaak;Vaak;
Black Tern;Gull/Tern;Sternen/Meeuwen;Chlidonias niger;Zwarte Stern;Soms;Soms;;;;
Common Tern;Gull/Tern;Sternen/Meeuwen;Sterna hirundo;Visdief;Vaak;Vaak;;;;
Arctic Tern;Gull/Tern;Sternen/Meeuwen;Sterna paradisaea;Noordse Stern;Soms;Soms;;;;
Antarctic Tern;Gull/Tern;Sternen/Meeuwen;Sterna vittata;Zuidpoolstern;;;;;;Zeldzaam/Dwaalgast 
Elegant Tern;Gull/Tern;Sternen/Meeuwen;Thalasseus elegans;Sierlijke Stern;;;;;;Bijna uitgestorven
Sandwich Tern;Gull/Tern;Sternen/Meeuwen;Thalasseus sandvicensis;Grote Stern;Vaak;Vaak;;;;
Royal Tern;Gull/Tern;Sternen/Meeuwen;Thalasseus maximus;Koningsstern;;;;;;
Greater Crested Tern;Gull/Tern;Sternen/Meeuwen;Thalasseus bergii;Grote Kuifstern;Vaak;Vaak;;;;
Secretary-bird;Secretary-bird;Secretarisvogel;Sagittarius serpentarius;Secretarisvogel;Soms;Soms;Soms;Soms;Soms;Kwetsbaar
Osprey;Osprey;Roofvogels;Pandion haliaetus;Visarend;;Zelden;;Zelden;Zelden;
Black-winged Kite;Vultures/Eagles/Hawks;Roofvogels;Elanus caeruleus;Grijze Wouw;Vaak;Vaak;Vaak;Vaak;Vaak;
European Honey Buzzard;Vultures/Eagles/Hawks;Roofvogels;Pernis apivorus;Wespendief;;;;Zelden;Zelden;
African Cuckoo Hawk;Vultures/Eagles/Hawks;Roofvogels;Aviceda cuculoides;Afrikaanse Koekoekswouw;;;;Zelden;Zelden;
African Harrier Hawk;Vultures/Eagles/Hawks;Roofvogels;Polyboroides typus;Kaalkopkiekendief;;Soms;Soms;Soms;Soms;
Palm-nut Vulture;Vultures/Eagles/Hawks;Roofvogels;Gypohierax angolensis;Palmgier;;;;Zelden;Zelden;Zeldzaam/Dwaalgast 
Egyptian Vulture;Vultures/Eagles/Hawks;Roofvogels;Neophron percnopterus;Aasgier;;;Zelden;;;In gevaar
Bateleur;Vultures/Eagles/Hawks;Roofvogels;Terathopius ecaudatus;Bateleur;;;Zelden;Zelden;Zelden;Bijna uitgestorven
Black-chested Snake Eagle;Vultures/Eagles/Hawks;Roofvogels;Circaetus pectoralis;Zwartborstslangenarend;Soms;Soms;Soms;Soms;Soms;
Brown Snake Eagle;Vultures/Eagles/Hawks;Roofvogels;Circaetus cinereus;Bruine Slangenarend;;;Soms;Soms;Soms;
Western Banded Snake Eagle;Vultures/Eagles/Hawks;Roofvogels;Circaetus cinerascens;Kleine Grijze Slangenarend;;;;Zelden;Zelden;
White-headed Vulture;Vultures/Eagles/Hawks;Roofvogels;Trigonoceps occipitalis;Witkopgier;;;Zelden;Zelden;Zelden;In kritiek gevaar
Hooded Vulture;Vultures/Eagles/Hawks;Roofvogels;Necrosyrtes monachus;Kapgier;;;Zelden;Zelden;Zelden;In kritiek gevaar
White-backed Vulture;Vultures/Eagles/Hawks;Roofvogels;Gyps africanus;Witruggier;;;Soms;Soms;Soms;In kritiek gevaar
Cape Vulture;Vultures/Eagles/Hawks;Roofvogels;Gyps coprotheres;Kaapse Gier;;Zelden;Zelden;;;In gevaar
Lappet-faced Vulture;Vultures/Eagles/Hawks;Roofvogels;Torgos tracheliotos;Oorgier;Zelden;Zelden;Zelden;Zelden;Zelden;In gevaar
Bat Hawk;Vultures/Eagles/Hawks;Roofvogels;Macheiramphus alcinus;Vleermuiswouw;;;;;Zelden;
Crowned Eagle;Vultures/Eagles/Hawks;Roofvogels;Stephanoaetus coronatus;Kroonarend;;;;;;Bijna uitgestorven
Martial Eagle;Vultures/Eagles/Hawks;Roofvogels;Polemaetus bellicosus;Vechtarend;Zelden;Zelden;Zelden;Zelden;Zelden;Kwetsbaar
Long-crested Eagle;Vultures/Eagles/Hawks;Roofvogels;Lophaetus occipitalis;Afrikaanse Zwarte Kuifarend;;;;Soms;Soms;
Lesser Spotted Eagle;Vultures/Eagles/Hawks;Roofvogels;Clanga pomarina;Schreeuwarend;;;Zelden;Zelden;Zelden;
Tawny Eagle;Vultures/Eagles/Hawks;Roofvogels;Aquila rapax;Savannearend;Soms;Soms;Soms;Soms;Soms;
Steppe Eagle;Vultures/Eagles/Hawks;Roofvogels;Aquila nipalensis;Steppearend;;;Zelden;Zelden;Zelden;In gevaar
Verreaux's Eagle;Vultures/Eagles/Hawks;Roofvogels;Aquila verreauxii;Zwarte Arend;Soms;Soms;Soms;;;
African Hawk Eagle;Vultures/Eagles/Hawks;Roofvogels;Aquila spilogaster;Afrikaanse Havikarend;;;Zelden;Zelden;Zelden;
Wahlberg's Eagle;Vultures/Eagles/Hawks;Roofvogels;Hieraaetus wahlbergi;Wahlbergs Arend;;;Soms;Soms;Soms;
Booted Eagle;Vultures/Eagles/Hawks;Roofvogels;Hieraaetus pennatus;Dwergarend;Zelden;Zelden;Zelden;Zelden;Zelden;
Ayres's Eagle;Vultures/Eagles/Hawks;Roofvogels;Hieraaetus ayresii;Ayres' Havikarend;;;;Zelden;Zelden;
Lizard Buzzard;Vultures/Eagles/Hawks;Roofvogels;Kaupifalco monogrammicus;Hagedisbuizerd;;;;Soms;Soms;
Dark Chanting Goshawk;Vultures/Eagles/Hawks;Roofvogels;Melierax metabates;Donkere Zanghavik;;;;Soms;Soms;
Pale Chanting Goshawk;Vultures/Eagles/Hawks;Roofvogels;Melierax canorus;Zanghavik;Vaak;Vaak;Vaak;;Vaak;
Gabar Goshawk;Vultures/Eagles/Hawks;Roofvogels;Micronisus gabar;Gabarhavik;Soms;Soms;Soms;Soms;Soms;
Western Marsh Harrier;Vultures/Eagles/Hawks;Roofvogels;Circus aeruginosus;Bruine Kiekendief;;;;;;Zeldzaam/Dwaalgast 
African Marsh Harrier;Vultures/Eagles/Hawks;Roofvogels;Circus ranivorus;Afrikaanse Bruine Kiekendief;;;;Soms;Soms;
Black Harrier;Vultures/Eagles/Hawks;Roofvogels;Circus maurus;Zwarte Kiekendief;Zelden;;;;;In gevaar
Pallid Harrier;Vultures/Eagles/Hawks;Roofvogels;Circus macrourus;Steppekiekendief;;;;Zelden;Zelden;Bijna uitgestorven
Montagu's Harrier;Vultures/Eagles/Hawks;Roofvogels;Circus pygargus;Grauwe Kiekendief;;;;Zelden;Zelden;
African Goshawk;Vultures/Eagles/Hawks;Roofvogels;Accipiter tachiro;Afrikaanse Havik;;;;Vaak;Vaak;
Shikra;Vultures/Eagles/Hawks;Roofvogels;Accipiter badius;Shikra;;;Soms;Soms;Soms;
Little Sparrowhawk;Vultures/Eagles/Hawks;Roofvogels;Accipiter minullus;Oost-Afrikaanse Dwergsperwer;;;Soms;Soms;Soms;
Ovambo Sparrowhawk;Vultures/Eagles/Hawks;Roofvogels;Accipiter ovampensis;Ovambosperwer;;;;Soms;Soms;
Black Sparrowhawk;Vultures/Eagles/Hawks;Roofvogels;Accipiter melanoleucus;Zwarte Havik;;;;Soms;Soms;
African Fish Eagle;Vultures/Eagles/Hawks;Roofvogels;Haliaeetus vocifer;Afrikaanse Zeearend;;;Soms;Soms;Soms;
Black Kite;Vultures/Eagles/Hawks;Roofvogels;Milvus migrans;Zwarte Wouw;;Vaak;Vaak;Vaak;Vaak;
Red-necked Buzzard;Vultures/Eagles/Hawks;Roofvogels;Buteo auguralis;Afrikaanse Roodstaartbuizerd;;;;;;Zeldzaam/Dwaalgast 
Augur Buzzard;Vultures/Eagles/Hawks;Roofvogels;Buteo augur;Augurbuizerd;;Soms;Soms;;;
Yellowbilled Kite;Vultures/Eagles/Hawks;Roofvogels;;Geelsnavelwouw;Vaak;Vaak;Vaak;Vaak;Vaak;
Jackal Buzzard;Vultures/Eagles/Hawks;Roofvogels;Buteo rufofuscus;Jakhalsbuizerd;Soms;Soms;;;;
Eurasian Buzzard;Vultures/Eagles/Hawks;Roofvogels;Buteo buteo;Buizerd;;;;;;
Steppe Buzzard;Vultures/Eagles/Hawks;Roofvogels;Buteo Vulpinus;Steppebuizerd;Vaak;Vaak;Vaak;Vaak;Vaak;
Common Barn Owl;Owl;Uilen;Tyto alba;Kerkuil;Vaak;Vaak;Vaak;Vaak;Vaak;
Pearl-spotted Owlet;Owl;Uilen;Glaucidium perlatum;Geparelde Dwerguil;;Vaak;Vaak;Vaak;Vaak;
African Barred Owlet;Owl;Uilen;Glaucidium capense;Kaapse Dwerguil;;;Soms;Soms;Soms;
Eurasian Scops Owl;Owl;Uilen;Otus scops;Dwergooruil;;;;;;
African Scops Owl;Owl;Uilen;Otus senegalensis;Afrikaanse Dwergooruil;;Vaak;Vaak;Vaak;Vaak;
Southern White-faced Owl;Owl;Uilen;Ptilopsis granti;Zuidelijke Witwangdwergooruil;Vaak;Vaak;Vaak;Vaak;Vaak;
Marsh Owl;Owl;Uilen;Asio capensis;Afrikaanse Velduil;;;Vaak;Vaak;Vaak;
African Wood Owl;Owl;Uilen;Strix woodfordii;Afrikaanse Bosuil;;;;Soms;Soms;
Cape Eagle Owl;Owl;Uilen;Bubo capensis;Kaapse Oehoe;Zelden;;;;;
Spotted Eagle Owl;Owl;Uilen;Bubo africanus;Afrikaanse Oehoe;Soms;Soms;Soms;Soms;Soms;
Verreaux's Eagle Owl;Owl;Uilen;Bubo lacteus;Verreaux' Oehoe;;;Soms;Soms;Soms;
Pel's Fishing Owl;Owl;Uilen;Scotopelia peli;Pels Visuil;;;;Zelden;Zelden;
White-backed Mousebird;Mousebird;Muisvogels;Colius colius;Witstuitmuisvogel;Vaak;Vaak;Vaak;;;
Red-faced Mousebird;Mousebird;Muisvogels;Urocolius indicus;Roodwangmuisvogel;Soms;Soms;Soms;Soms;Soms;
Narina's Trogon;Trogon;Narinatrogon;Apaloderma narina;Narinatrogon;;;;;Soms;
Southern Ground Hornbill;Hornbill;Raven/Tokken;Bucorvus leadbeateri;Zuidelijke Hoornraaf;;;;Soms;Soms;Kwetsbaar
Crowned Hornbill;Hornbill;Raven/Tokken;Tockus alboterminatus;Kuiftok;;;;;Vaak;
Bradfield's Hornbill;Hornbill;Raven/Tokken;Tockus bradfieldi;Bradfields Tok;;;Soms;Soms;Soms;
African Grey Hornbill;Hornbill;Raven/Tokken;Tockus nasutus;Grijze Tok;;Vaak;Vaak;Vaak;Vaak;
Monteiro's Hornbill;Hornbill;Raven/Tokken;Tockus monteiri;Monteiro's Tok;;Vaak;Vaak;;;
Red-billed Hornbill;Hornbill;Raven/Tokken;Tockus erythrorhynchus;Roodsnaveltok;;;Vaak;Vaak;Vaak;
Damara Hornbill;Hornbill;Raven/Tokken;Tockus damarensis;Damaratok;;;;;;Endemisch
Southern Yellow-billed Hornbill;Hornbill;Raven/Tokken;Tockus leucomelas;Zuidelijke Geelsnaveltok;;Vaak;Vaak;Vaak;Vaak;
Trumpeter Hornbill;Hornbill;Raven/Tokken;Bycanistes bucinator;Trompetneushoornvogel;;;;;Soms;
Common Hoopoe;Hoopoe;Hoppen;Upupa epops;Hop;Vaak;Vaak;Vaak;Vaak;Vaak;
Green Wood-hoopoe;Hoopoe;Kakelaars;Phoeniculus purpureus;Groene Kakelaar;;;Vaak;Vaak;Vaak;
Violet Wood-hoopoe;Hoopoe;Kakelaars;Phoeniculus damarensis;Damara-kakelaar;;;Vaak;;;
Common Scimitarbill;Hoopoe;Kakelaars;Rhinopomastus cyanomelas;Zuid-Afrikaanse Boomhop;Vaak;Vaak;Vaak;Vaak;Vaak;
Green-backed Honeybird;Honeybird;Honingspeurders;Prodotiscus zambesiae;Grijze Honingspeurder;;;;Soms;Soms;
Wahlberg's Honeybird;Honeybird;Honingspeurders;Prodotiscus regulus;Bruinrughoningspeurder;;;;Soms;Soms;
Lesser Honeyguide;Honeybird;Honingspeurders;Indicator minor;Kleine Honingspeurder;;;Vaak;Vaak;Vaak;
Greater Honeyguide;Honeybird;Honingspeurders;Indicator indicator;Grote Honingspeurder;;;;Soms;Soms;
Bennett's Woodpecker;Woodpeckers;Spechten;Campethera bennettii;Bennett-specht;;;Soms;Soms;Soms;
Golden-tailed Woodpecker;Woodpeckers;Spechten;Campethera abingoni;Goudstaartspecht;;;Vaak;Vaak;Vaak;
Cardinal Woodpecker;Woodpeckers;Spechten;Dendropicos fuscescens;Kardinaalspecht;Vaak;Vaak;Vaak;Vaak;Vaak;
Bearded Woodpecker;Woodpeckers;Spechten;Chloropicus namaquus;Baardspecht;;Soms;Soms;Soms;Soms;
Olive Woodpecker;Woodpeckers;Spechten;Mesopicos griseocephalus;Olijfspecht;;;;;Soms;
Crested Barbet;Barbet;Baardvogels;Trachyphonus vaillantii;Kuifbaardvogel;;;;Vaak;Vaak;
Yellow-fronted Tinkerbird;Barbet;Baardvogels;Pogoniulus chrysoconus;Geelvoorhoofdketellapper;;;Vaak;Vaak;Vaak;
Acacia Pied Barbet;Barbet;Baardvogels;Tricholaema leucomelas;Kaapse Baardvogel;Vaak;Vaak;Vaak;Vaak;Vaak;
Black-collared Barbet;Barbet;Baardvogels;Lybius torquatus;Zwarthalsbaardvogel;;;Vaak;Vaak;Vaak;
White-fronted Bee-eater;Bee-eater;Bijeneters;Merops bullockoides;Witkapbijeneter;;;;Vaak;Vaak;
Southern Carmine Bee-eater;Bee-eater;Bijeneters;Merops nubicoides;Zuidelijke Karmijnrode Bijeneter;;;;Vaak;Vaak;
Olive Bee-eater;Bee-eater;Bijeneters;Merops superciliosus;Madagaskarbijeneter;;;;;Zelden;
Blue-cheeked Bee-eater;Bee-eater;Bijeneters;Merops persicus;Groene Bijeneter;;;Soms;Soms;Soms;
European Bee-eater;Bee-eater;Bijeneters;Merops apiaster;Bijeneter;;;Vaak;Vaak;Vaak;
Swallow-tailed Bee-eater;Bee-eater;Bijeneters;Merops hirundineus;Zwaluwstaartbijeneter;Vaak;Vaak;Vaak;Vaak;Vaak;
Little Bee-eater;Bee-eater;Bijeneters;Merops pusillus;Dwergbijeneter;;;;Vaak;Vaak;
Rufous-crowned Roller;Roller;Scharrelaars;Coracias naevius;Roodkruinscharrelaar;;;Soms;Soms;Soms;
Racquet-tailed Roller;Roller;Scharrelaars;Coracias spatulatus;Vlagstaartscharrelaar;;;;Zelden;Zelden;
Lilac-breasted Roller;Roller;Scharrelaars;Coracias caudatus;Vorkstaartscharrelaar;;;Vaak;Vaak;Vaak;
European Roller;Roller;Scharrelaars;Coracias garrulus;Scharrelaar;;;Vaak;Vaak;Vaak;
Broad-billed Roller;Roller;Scharrelaars;Eurystomus glaucurus;Breedbekscharrelaar;;;;Soms;Soms;
African Pygmy Kingfisher;Kingfisher;Ijsvogels;Ispidina picta;Afrikaanse Dwergijsvogel;;;;;Vaak;
African Malachite Kingfisher;Kingfisher;Ijsvogels;Corythornis cristatus;Malachietijsvogel;;;;Vaak;Vaak;
Half-collared Kingfisher;Kingfisher;Ijsvogels;Alcedo semitorquata;Kobaltijsvogel;;;;Zelden;Zelden;
Giant Kingfisher;Kingfisher;Ijsvogels;Megaceryle maxima;Afrikaanse Reuzenijsvogel;;;;Vaak;Vaak;
Pied Kingfisher;Kingfisher;Ijsvogels;Ceryle rudis;Bonte IJsvogel;Vaak;Vaak;Vaak;Vaak;Vaak;
Grey-headed Kingfisher;Kingfisher;Ijsvogels;Halcyon leucocephala;Grijskopijsvogel;;;Zelden;Zelden;Zelden;
Brown-hooded Kingfisher;Kingfisher;Ijsvogels;Halcyon albiventris;Bruinkapijsvogel;;;;Soms;Soms;
Striped Kingfisher;Kingfisher;Ijsvogels;Halcyon chelicuti;Gestreepte IJsvogel;;;Vaak;Vaak;Vaak;
Woodland Kingfisher;Kingfisher;Ijsvogels;Halcyon senegalensis;Senegalijsvogel;;;Vaak;Vaak;Vaak;
African Pygmy Falcon;Falcon;Valken;Polihierax semitorquatus;Afrikaanse Dwergvalk;;Zelden;Zelden;;;
Lesser Kestrel;Falcon;Valken;Falco naumanni;Kleine Torenvalk;;;Vaak;Vaak;Vaak;
Common Kestrel;Falcon;Valken;Falco tinnunculus;Torenvalk;Vaak;Vaak;Vaak;Vaak;Vaak;
Greater Kestrel;Falcon;Valken;Falco rupicoloides;Grote Torenvalk;Soms;Soms;Soms;Soms;Soms;
Grey Kestrel;Falcon;Valken;Falco ardosiaceus;Grijze Torenvalk;;;;;;
Dickinson's Kestrel;Falcon;Valken;Falco dickinsoni;Dickinsons Torenvalk;;;;Zelden;Zelden;
Red-necked Falcon;Falcon;Valken;Falco chicquera;Roodkopsmelleken;Zelden;Zelden;Zelden;Zelden;Zelden;
Red-footed Falcon;Falcon;Valken;Falco vespertinus;Roodpootvalk;;Soms;Soms;Soms;Zelden;Bijna uitgestorven
Amur Falcon;Falcon;Valken;Falco amurensis;Amoerroodpootvalk;;;;;;
Sooty Falcon;Falcon;Valken;Falco concolor;Woestijnvalk;;;;;;Kwetsbaar
Eurasian Hobby;Falcon;Valken;Falco subbuteo;Boomvalk;;Zelden;Zelden;Zelden;Zelden;
African Hobby;Falcon;Valken;Falco cuvierii;Afrikaanse Boomvalk;;;;Zelden;Zelden;
Lanner Falcon;Falcon;Valken;Falco biarmicus;Lannervalk;Soms;Soms;Soms;Soms;Soms;
Peregrine Falcon;Falcon;Valken;Falco peregrinus;Slechtvalk;Zelden;Zelden;Zelden;Zelden;Zelden;
Brown-necked Parrot;Parrot;Papegaaien;Poicephalus robustus;Kaapse Papegaai;;;;Zelden;Zelden;
Brown Parrot;Parrot;Papegaaien;Poicephalus meyeri;Meyers Papegaai;;;Soms;Soms;Soms;
Rüppell's Parrot;Parrot;Papegaaien;Poicephalus rueppellii;Rüppells Papegaai;;Zelden;Zelden;;;
Rosy-faced Lovebird;Lovebird;Agapornissen;Agapornis roseicollis;Perzikkopagapornis;Vaak;Vaak;Vaak;;;
Black-cheeked Lovebird;Lovebird;Agapornissen;Agapornis nigrigenis;Zwartwangagapornis;;;;;;Kwetsbaar
African Pitta;Pitta;Pittas;Pitta angolensis;Angola-pitta;;;;;;Zeldzaam/Dwaalgast 
African Broadbill;Broadbill;Breedbekken;Smithornis capensis;Kaapse Breedbek;;;;;Zelden;
White-breasted Cuckooshrike;Cuckooshrike;Rupsvogels;Ceblepyris pectoralis;Witborstrupsvogel;;;;;;
Black Cuckooshrike;Cuckooshrike;Rupsvogels;Campephaga flava;Kaapse Rupsvogel;;;Soms;Soms;Soms;
Eastern Black-headed Oriole;Oriole;Wielewalen;Oriolus larvatus;Maskerwielewaal;;;Soms;Zelden;Zelden;
Eurasian Golden Oriole;Oriole;Wielewalen;Oriolus oriolus;Wielewaal;;Soms;Soms;Soms;Soms;
African Golden Oriole;Oriole;Wielewalen;Oriolus auratus;Afrikaanse Wielewaal;;;;Zelden;Zelden;
White-tailed Shrike;Batis;Vliegenvangers;Lanioturdus torquatus;Tapuitklauwier;Vaak;Vaak;;;;
Chinspot Batis;Batis;Vliegenvangers;Batis molitor;Witflankvliegenvanger;;;;;;
Pririt Batis;Batis;Vliegenvangers;Batis pririt;Priritvliegenvanger;Vaak;Vaak;Vaak;Vaak;;
White-crested Helmet-shrike;Shrike;Klauwieren;Prionops plumatus;Helmklauwier;;;Vaak;Vaak;Vaak;
Retz's Helmet-shrike;Shrike;Klauwieren;Prionops retzii;Retz' Klauwier;;;;Soms;Soms;
Grey-headed Bush-shrike;Shrike/Tchagra/Boubou;Klauwieren;Malaconotus blanchoti;Spookklauwier;;;;;Soms;
Black-backed Puffback;Shrike/Tchagra/Boubou;Klauwieren;Dryoscopus cubla;Poederdonsklauwier;;;Vaak;Vaak;Vaak;
Brown-crowned Tchagra;Shrike/Tchagra/Boubou;Klauwieren;Tchagra australis;Bruinkoptsjagra;;;Vaak;Vaak;Vaak;
Black-crowned Tchagra;Shrike/Tchagra/Boubou;Klauwieren;Tchagra senegalus;Zwartkruintsjagra;;;Vaak;Vaak;Vaak;
Brubru;Shrike/Tchagra/Boubou;Klauwieren;Nilaus afer;Broebroe;Vaak;Vaak;Vaak;Vaak;Vaak;
Orange-breasted Bush-shrike;Shrike/Tchagra/Boubou;Klauwieren;Chlorophoneus sulfureopectus;Oranje Bosklauwier;;;Vaak;Vaak;Vaak;
Tropical Boubou;Shrike/Tchagra/Boubou;Klauwieren;Laniarius aethiopicus;Ethiopische Fiskaal;;;;;Vaak;
Swamp Boubou;Shrike/Tchagra/Boubou;Klauwieren;Laniarius bicolor;Moerasfiskaal;;;Soms;Soms;Soms;
Crimson-breasted Gonolek;Shrike/Tchagra/Boubou;Klauwieren;Laniarius atrococcineus;Burchells Fiskaal;Vaak;Vaak;Vaak;Vaak;Vaak;
Bokmakierie;Shrike/Tchagra/Boubou;Klauwieren;Telophorus zeylonus;Bokmakierieklauwier;Vaak;Vaak;;;;
Fork-tailed Drongo;Drongo;Treurdongos;Dicrurus adsimilis;Treurdrongo;Vaak;Vaak;Vaak;Vaak;Vaak;
Magpie Shrike;Shrike;Klauwieren;Urolestes melanoleucus;Eksterklauwier;;;Soms;Soms;Soms;
White-crowned Shrike;Shrike;Klauwieren;Eurocephalus anguitimens;Witkruinklauwier;;;Vaak;Vaak;Vaak;
Souza's Shrike;Shrike;Klauwieren;Lanius souzae;Souza's Klauwier;;;;Soms;Soms;
Red-backed Shrike;Shrike;Klauwieren;Lanius collurio;Grauwe Klauwier;Vaak;Vaak;Vaak;Vaak;Vaak;
Lesser Grey Shrike;Shrike;Klauwieren;Lanius minor;Kleine Klapekster;;;Vaak;Vaak;Vaak;
Southern Fiscal;Shrike;Klauwieren;Lanius collaris;Zuidelijke Gekraagde Klauwier;Vaak;Vaak;Vaak;Vaak;Vaak;
